"Nombre","Hora","Temperatura","Humedad","P. Rocio"
"2","Junü¾™†”¼n","26/10/2020 16:42","27.9","22","3.77"
"3","TunuyÃ¡n","26/10/2020 17:06","27.9","23","4.42"
"4","Vista Flores","26/10/2020 17:00","25.1","26","3.81"
"5","Las Paredes","26/10/2020 11:29","21.3","30","2.58"
"6","La Llave","26/10/2020 11:29","21.9","12","-6.86"
"7","AerÃ³dromo Gral Alvear","26/10/2020 11:34","22.0","22","-0.87"
"8","Perdriel","26/10/2020 16:49","22.8","13","-5.76"
"9","JocolÃ­","26/10/2020 16:50","28.5","12","-3.32"
"10","Russel","26/10/2020 16:51","26.8","15","-1.97"
"11","Montecaseros","26/10/2020 16:53","26.9","25","4.79"
"12","Las Violetas","26/10/2020 06:33","18.5","73","13.79"
"13","Los Campamentos","26/10/2020 16:57","27.5","10","-5.61"
"14","Bowen","26/10/2020 17:00","29.7","19","3.15"
"15","El Ceibo","26/10/2020 17:01","30.5","13","-1.18"
"16","Cuadro Benegas","26/10/2020 17:01","-30.0","-14","no disp."
"17","Palermo Chico","26/10/2020 17:01","28.0","16","-0.4"
"18","El Cerrito","26/10/2020 17:00","28.1","28","7.59"
"19","Colonia Las Rosas","26/10/2020 17:05","25.5","28","5.25"
"20","La Marzolina","26/10/2020 17:00","28.5","15","-0.83"
"21","La Escandinava","26/10/2020 17:03","29.8","12","-2.53"
"22","Dubois","26/10/2020 17:07","24.5","30","5.39"
