"nombre","hora","temperatura","humedad","p_rocio","tiempo"
"1","Junin","26/10/2020 17:41",28,21,3.19,2020-10-26 17:41:00
"2","Tunuyán","26/10/2020 20:02",21.4,41,7.3,2020-10-26 20:02:00
"3","Agua Amarga","26/10/2020 20:01",19.2,51,8.6,2020-10-26 20:01:00
"4","Vista Flores","26/10/2020 20:00",19.5,40,5.12,2020-10-26 20:00:00
"5","Las Paredes","26/10/2020 18:21",26.3,21,1.82,2020-10-26 18:21:00
"6","La Llave","26/10/2020 18:20",28.1,8,NA,2020-10-26 18:20:00
"7","Aeródromo Gral Alvear","26/10/2020 18:28",27.7,9,NA,2020-10-26 18:28:00
"8","Perdriel","26/10/2020 17:47",23.2,12,-6.22,2020-10-26 17:47:00
"9","Jocolí","26/10/2020 17:49",28.7,11,-4.08,2020-10-26 17:49:00
"10","Russel","26/10/2020 17:49",26.9,14,-2.67,2020-10-26 17:49:00
"11","Montecaseros","26/10/2020 17:52",27.4,21,2.7,2020-10-26 17:52:00
"12","Las Violetas","26/10/2020 06:33",18.5,73,13.79,2020-10-26 06:33:00
"13","Los Campamentos","26/10/2020 17:54",27.6,10,-5.56,2020-10-26 17:54:00
"14","Bowen","26/10/2020 20:00",22.3,32,4.38,2020-10-26 20:00:00
"15","Cuadro Benegas","26/10/2020 20:01",24,31,5.43,2020-10-26 20:01:00
"16","Palermo Chico","26/10/2020 20:01",22.5,22,-0.5,2020-10-26 20:01:00
"17","El Cerrito","26/10/2020 20:01",24.6,56,15.62,2020-10-26 20:01:00
"18","Colonia Las Rosas","26/10/2020 20:05",17.3,59,9.03,2020-10-26 20:05:00
"19","La Marzolina","26/10/2020 20:03",21.5,25,0.33,2020-10-26 20:03:00
"20","La Escandinava","26/10/2020 20:04",24,18,-1.79,2020-10-26 20:04:00
"21","Dubois","26/10/2020 20:06",20.4,35,3.98,2020-10-26 20:06:00
