"Nombre","Hora","Temperatura","Humedad","P. Rocio"
"2","Junü¾™†”¼n","26/10/2020 16:42","27.9","22","3.77"
"3","TunuyÃ¡n","26/10/2020 16:57","27.8","22","3.69"
"4","Vista Flores","26/10/2020 16:45","25.0","26","3.73"
"5","Las Paredes","26/10/2020 11:29","21.3","30","2.58"
"6","La Llave","26/10/2020 11:29","21.9","12","-6.86"
"7","AerÃ³dromo Gral Alvear","26/10/2020 11:34","22.0","22","-0.87"
"8","Perdriel","26/10/2020 16:49","22.8","13","-5.76"
"9","JocolÃ­","26/10/2020 16:50","28.5","12","-3.32"
"10","Russel","26/10/2020 16:51","26.8","15","-1.97"
"11","Montecaseros","26/10/2020 16:53","26.9","25","4.79"
"12","Las Violetas","26/10/2020 06:33","18.5","73","13.79"
"13","Los Campamentos","26/10/2020 16:57","27.5","10","-5.61"
"14","Bowen","26/10/2020 16:45","30.4","18","2.95"
"15","El Ceibo","26/10/2020 16:46","30.0","14","-0.63"
"16","Cuadro Benegas","26/10/2020 17:01","-30.0","-14","no disp."
"17","Palermo Chico","26/10/2020 16:46","28.3","16","-0.18"
"18","El Cerrito","26/10/2020 17:00","28.1","28","7.59"
"19","Colonia Las Rosas","26/10/2020 16:57","25.5","29","5.78"
"20","La Marzolina","26/10/2020 16:55","28.6","16","0.03"
"21","La Escandinava","26/10/2020 16:53","29.6","12","-2.65"
"22","Dubois","26/10/2020 16:58","24.4","28","4.28"
